41,37,30,28,19,9,11,12,2,6,7,5,4,5,4,4,1,1,1,1,1,1,1,1
32,31,27,25,14,7,12,9,2,3,6,4,3,4,2,4,0,1,0,1,1,1,1,0
24,34,17,22,10,9,7,8,2,7,5,6,3,5,2,1,1,1,1,1,1,1,1,0
22,22,16,20,4,9,8,7,2,5,4,4,1,1,2,3,1,0,0,0,0,0,0,1
18,24,14,20,8,9,10,8,3,4,7,5,4,5,2,2,1,1,1,1,1,1,1,1
21,17,15,10,8,4,5,8,2,2,5,2,3,4,3,1,1,0,0,1,0,1,1,1
18,18,9,12,10,10,6,6,3,3,5,5,4,5,1,1,1,1,0,1,1,1,1,1
15,18,15,13,9,4,7,4,1,3,5,2,2,4,0,2,0,1,0,1,1,1,1,0
11,10,10,10,9,6,6,4,3,1,3,3,2,3,1,1,1,0,0,1,0,0,1,1
10,8,12,11,5,3,6,3,0,1,2,2,1,0,1,1,0,1,0,0,1,0,0,0
9,9,7,8,3,1,5,4,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0
6,10,6,6,2,3,2,0,2,0,2,2,1,2,1,0,0,1,0,1,0,0,1,0
5,8,5,4,1,3,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,3,2,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
