47,8,12,7,7,1,3,1,0,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0
8,41,8,13,1,7,5,6,2,4,4,5,2,3,1,1,1,1,1,1,1,1,1,0
12,8,33,7,6,1,5,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
7,13,7,35,1,3,7,3,1,3,0,2,0,1,0,1,1,1,0,0,1,0,0,0
7,1,6,1,19,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,7,1,3,0,11,2,4,2,0,4,3,2,2,1,0,1,0,0,0,0,1,0,1
3,5,5,7,1,2,13,3,2,1,2,2,1,1,0,1,0,0,0,1,1,0,1,0
1,6,1,3,1,4,3,12,1,1,3,3,1,2,2,0,1,0,0,0,1,1,0,1
0,2,0,1,0,2,2,1,3,0,2,1,1,1,1,0,0,0,0,1,0,0,1,1
4,4,0,3,0,0,1,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,4,1,0,0,4,2,3,2,0,7,1,2,2,1,0,0,0,0,1,0,1,1,1
1,5,1,2,0,3,2,3,1,1,1,6,1,2,0,0,1,0,0,1,1,0,1,0
0,2,0,0,1,2,1,1,1,0,2,1,4,2,0,0,0,0,0,1,0,1,1,0
0,3,0,1,1,2,1,2,1,0,2,2,2,5,0,0,1,0,0,1,0,1,1,0
1,1,2,0,1,1,0,2,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0
1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
