157,109,84,72,75,65,65,64,37,36,36,23,19,13,8,8,2,1
109,125,68,50,60,44,53,62,30,28,28,20,16,11,8,6,2,1
84,68,105,52,58,42,41,41,24,24,26,23,17,9,9,5,1,1
72,50,52,83,42,34,36,25,24,19,16,11,14,9,7,5,1,1
75,60,58,42,89,36,42,32,22,25,26,29,22,8,7,4,2,1
65,44,42,34,36,69,29,27,27,17,16,13,7,6,5,5,1,1
65,53,41,36,42,29,73,36,24,19,18,12,9,10,4,5,2,1
64,62,41,25,32,27,36,73,19,17,15,12,9,6,3,6,3,1
37,30,24,24,22,27,24,19,44,10,7,7,4,3,2,2,1,0
36,28,24,19,25,17,19,17,10,38,14,9,7,3,2,3,0,0
36,28,26,16,26,16,18,15,7,14,36,9,6,7,6,4,0,1
23,20,23,11,29,13,12,12,7,9,9,32,10,5,1,0,1,0
19,16,17,14,22,7,9,9,4,7,6,10,25,2,1,1,1,0
13,11,9,9,8,6,10,6,3,3,7,5,2,14,3,0,0,0
8,8,9,7,7,5,4,3,2,2,6,1,1,3,9,0,0,1
8,6,5,5,4,5,5,6,2,3,4,0,1,0,0,9,1,0
2,2,1,1,2,1,2,3,1,0,0,1,1,0,0,1,3,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
